scenario,SEQ,SEQCOST,CCCOST,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,co2seq,dac,elec_cap,elec_cf,total_onwind,total_offwind,total_solar
aaa,a,a,a,min,0.05,2025,-0.0,3.237189196224842e-12,977017099745.0852,,59.26639943222869,0.0,0.016621326608761092,0.0,,351505.5857400994,61977.81760819792,404457.5538379833
aaa,a,a,a,max,0.05,2025,10.50296524063416,3.392538902278019e-07,1013376678578.092,-14.72993931711845,0.5646540389754285,23.233112337343755,0.2518843087757849,68052.86402844785,0.9996841033289241,397652.14759429527,94882.22674279305,425445.89475919015
aaa,a,a,a,min,0.05,2030,-0.0,5.871205395951775e-11,945717228798.737,,89.19113278593863,25000000.000036925,0.3886793411770841,0.0,,513451.53675799066,217543.84422135487,675739.3830942281
aaa,a,a,a,max,0.05,2030,12.592074961022627,1.613654360950186e-06,984454075913.7983,-17.66499765344304,1.0194199371811195,24999999.98623985,0.15269817614895323,97232.04946256382,0.8222353766389702,536822.7337901867,283019.837262194,724359.4858514251
aaa,a,a,a,min,0.05,2035,1.429011086477176,47.62893925983733,1020460797240.844,-3.2486535793520694,0.993358196907635,74999999.99736376,0.2408788237886133,12516.2354058611,0.681523795203323,893104.159541783,433035.7886324832,1185634.574453
aaa,a,a,a,max,0.05,2035,37.10916544723991,52.553998093254584,1022345394150.6375,-22.776938471777164,1.8021826222192923,74999999.99862926,0.3517280571443821,308267.78880139586,0.7296678587050384,824316.8596193052,565864.7460367919,1251086.646865332
aaa,a,a,a,min,0.05,2040,22.76745455964036,758.8392602607953,1110075232385.4697,-2.8561276988534066,1.0281743070467766,124999999.98508765,0.2659774338315576,200799.65673224203,0.6612889807249551,1023625.110928933,506674.3851907251,1983274.3530048993
aaa,a,a,a,max,0.05,2040,57.1744760798712,215.430938326212,1113498205316.7236,-28.92042049717572,2.4105418491804484,124999999.52121031,24452249.15811248,505884.9618013055,0.6728648464021306,1089453.5424765896,590774.6279296405,2323642.536149148
aaa,a,a,a,min,0.05,2045,22.6920343069328,756.325503451642,988823921610.612,,94.64932004486319,200000000.00010195,2.2055711460182663,200799.65445615753,0.659075480702531,978764.2613929467,501790.774460217,1985271.599227315
aaa,a,a,a,max,0.05,2045,52.515309031088236,282.5361585049212,1031900322095.9656,-43.09538648000097,2.9740935351098146,199999997.93164176,47081976.03981749,505880.291923701,0.6176940832349933,1046370.7746549342,585446.1976370974,2327204.9111331934
aaa,a,a,a,min,0.05,2050,21.537850411112483,717.8565542021447,905640688249.7351,,90.03422521384601,275000000.0000782,16166820.854290418,200799.65445615753,0.6255037478063726,938155.5574803957,508417.9277093116,2034114.657685841
aaa,a,a,a,max,0.05,2050,56.00062865649582,296.25087096432844,954503224649.0953,-29.873844387500778,1.82267459720324,275000000.36903495,54832178.998325884,472983.6373511291,0.693127889150772,1001484.2008421874,584776.912062882,2345834.4648655597
