scenario,year,B,C,I,T,seg,clusters,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage,demand:H2 for industry,demand:land transport fuel cell,demand:Fischer-Tropsch,demand:H2 Fuel Cell,demand:Haber-Bosch,demand:Sabatier,demand:hydrogen for highT industry,demand:hydrogen for mediumT industry,demand:methanolisation
1987baab,1987,b,a,a,b,100,50,min,0.05,2025,-0.0,1.0870104568411507e-17,971367877531.5046,,58.354703491864356,-0.0,0.0,2.8084271603800672e-08,7.157260034083661,0.0,,353878.5308264277,44064.89868886434,480324.4200105083,99790.09999999222,1.8060164657177974e-08,98096328.00003,32842594.95095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2025,10.794905813901838,4.903073848878339e-08,1007794178805.2782,-14.96940514462496,0.5285955775861029,186421121.7291897,-2.6958045552046315,0.023996696930958437,55.880549699128714,69933.00519899867,0.9998478829332345,402559.1936783659,46053.84389159872,656729.2594274732,99790.1000105253,0.016664200559422943,98096328.39111,32842595.04123,0.0,0.0,237185287.19958,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2030,-0.0,5.782245460873139e-11,930110746242.4578,,86.84419128103427,-0.0,25000000.000090607,0.17552687813866497,32.1572603412043,0.0,,511325.3498201757,92291.71950214222,1031908.2832295813,78601.1000615021,6050.073840353402,98096328.38467,32842594.9343,60000.0,6757898.75581,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2030,13.835515881970508,9.642492443301316e-08,969543044306.7205,-20.236593273495313,1.064527170670056,452244493.3100605,24999999.998646554,0.016677048290097352,98.21452120072186,98915.03248773949,0.889850878402397,498401.5795789694,102833.35891136792,1390967.172405239,78601.10000623821,9132.669994822301,98096328.04956,32842594.95183,60000.0,6757898.75581,321567172.63811,0.0,0.0,1813749.97089,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2035,1.6067024437926043,53.551392451584675,985285780780.8196,-3.8944595988811646,1.0317306078055122,55156459.11251583,75000000.00000194,0.0011942574348896293,79.98494131637,15691.012637518566,0.611228548346612,821805.4650945789,283323.01548519847,1595895.13100442,40121.30000056699,69328.7359104865,76453027.16486,22874452.95524,19440000.0,65889512.86918,0.0,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2035,44.60056094687109,4.1466132999245e-06,988775175037.4219,-25.465233423947286,1.6680012661618067,2258514139.316883,74999999.75650835,0.4727502769830888,316.4934884064766,331965.4289204308,0.8154585608665507,656436.3186015566,203330.2570840597,2863967.010947982,40121.300164306296,1018522.3063565746,137951446.95643,32842594.84332,19440000.0,65889512.86918,1140750268.67638,0.0,0.0,89662877.3264,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2040,22.770602242468225,758.9441727332305,1059256610995.8008,-3.023271449051869,1.0334908948593966,748465316.0830243,125000000.01113002,0.07659609911627865,268.1750127918254,205108.16566675535,0.6477792566086606,935220.0443219491,340933.98288787575,2377975.676484811,31807.90004521689,1963258.4176530228,0.0,3497906.69395,39860000.0,123331652.29359,693266074.30981,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2040,71.79397045913981,136.96571893150846,1066311450036.3073,-28.395906316733484,1.9664278501067285,4307916049.170865,124999999.99798208,62061082.5980529,538.525671662753,576301.5488353168,0.7408823660630488,930882.7283103827,383542.86637357285,3678146.0277196052,31807.90011403385,6826171.606501002,115931495.31109,17278101.1609,39860000.0,123331652.29359,1994715883.25627,0.0,0.0,101775906.46556,0.0
1987baab,1987,b,a,a,b,100,50,min,0.05,2045,23.618625343426665,787.2087826698728,938219601572.5234,,93.47027752897083,70215946836.2201,200000000.00040478,1.1931813838654077,382.33830340046455,205102.7985641702,0.6720278673349459,897721.5210560679,333917.0815784383,2412257.415693262,31807.900129845373,1967197.2660126984,1089613.93669,73801.32752,64200000.0,214563285.49707,887545741.13949,0.0,0.0,0.0,0.0
1987baab,1987,b,a,a,b,100,50,max,0.05,2045,,,,,,,,,,,,,,,,,,,,,,,,,
