label,source,target,value
H2 to oil,H2,oil,966.6326405357928
H2 to other demand,H2,other demand,178.8785267173424
ambient heat to heat demand,ambient heat,heat demand,1500.846363272421
ambient heat to other demand,ambient heat,other demand,423.1523910639435
battery to electricity grid,battery,electricity grid,404.699583144393
battery to other demand,battery,other demand,485.6331445426615
biomass to electricity grid,biomass,electricity grid,65.72045937413591
biomass to gas,biomass,gas,351.3285447676446
biomass to heat demand,biomass,heat demand,357.8758476378308
biomass to oil,biomass,oil,148.83221684001035
biomass to other demand,biomass,other demand,214.4561999708516
coal to other demand,coal,other demand,105.99727999981205
electricity grid to H2,electricity grid,H2,1078.8786711244593
electricity grid to battery,electricity grid,battery,909.7929277150101
electricity grid to heat demand,electricity grid,heat demand,1681.1866919917193
electricity grid to other demand,electricity grid,other demand,3451.253037691774
gas to heat demand,gas,heat demand,288.54432363941487
gas to other demand,gas,other demand,483.25235106034285
green fuel imports to H2,green fuel imports,H2,312.4163391635859
green fuel imports to gas,green fuel imports,gas,522.3700887450645
green fuel imports to other demand,green fuel imports,other demand,244.09224309041667
oil to other demand,oil,other demand,2911.1385453097614
oil primary to oil,oil primary,oil,1795.6993306906593
renewables to electricity grid,renewables,electricity grid,7276.070025812957
