label,source,target,value
H2 to losses,H2,losses,105.56087126933437
H2 to oil,H2,oil,503.0217122620857
H2 to other demand,H2,other demand,170.44313229562817
ambient heat to heat demand,ambient heat,heat demand,1751.177821143302
ambient heat to other demand,ambient heat,other demand,423.1523897078161
battery to electricity grid,battery,electricity grid,433.48880746270106
battery to other demand,battery,other demand,485.6331445426615
biomass to gas,biomass,gas,351.32854480140327
biomass to heat demand,biomass,heat demand,208.27428721126464
biomass to losses,biomass,losses,337.66794723070444
biomass to oil,biomass,oil,211.15238588361757
biomass to other demand,biomass,other demand,214.4562000391387
coal to other demand,coal,other demand,105.99727999981205
electricity grid to H2,electricity grid,H2,777.6077563232878
electricity grid to battery,electricity grid,battery,937.2632771772062
electricity grid to heat demand,electricity grid,heat demand,2134.2423554019333
electricity grid to losses,electricity grid,losses,472.98845048476517
electricity grid to other demand,electricity grid,other demand,3451.3475919494585
fossil gas to gas,fossil gas,gas,181.5987470059875
gas to other demand,gas,other demand,491.5649554170998
green fuel imports to oil,green fuel imports,oil,533.487257153146
green fuel imports to other demand,green fuel imports,other demand,244.12048060781058
oil to other demand,oil,other demand,2911.1385453097614
oil primary to losses,oil primary,losses,88.59157505268429
oil primary to oil,oil primary,oil,1663.4771900277049
renewables to electricity grid,renewables,electricity grid,7341.63649535984
renewables to losses,renewables,losses,447.8238606083061
